time,open,high,low,close
1357077600,114.3155,115.4735,114.3155,115.406
1357092000,115.406,115.9935,115.2775,115.662
1357106400,115.662,115.965,115.33,115.527
1357120800,115.527,115.54,115.175,115.401
1357135200,115.401,115.6455,114.577,114.7095
1357149600,114.7095,115.179,114.5705,115.1695
1357164000,115.1695,115.21,114.658,114.7835
1357178400,114.7835,114.898,114.4685,114.641
1357192800,114.641,114.8065,114.4465,114.5575
1357207200,114.5575,114.5825,113.655,113.9365
1357221600,113.9365,114.0745,113.6595,113.905
1357236000,113.905,114.218,113.779,113.834
1357250400,113.834,114.3805,113.8335,114.207
1357264800,114.207,114.51,114.194,114.4585
1357279200,114.4585,114.9635,114.2625,114.745
1357293600,114.745,115.0755,114.385,114.6635
1357308000,114.6635,115.2975,114.2825,115.2195
1357322400,115.2195,115.4145,115.0605,115.2085
1357509600,115.2225,115.5545,114.7995,114.9585
1357524000,114.9585,115.151,114.424,114.535
1357538400,114.535,114.6935,114.1155,114.448
1357552800,114.448,114.7785,114.2405,114.7305
1357567200,114.7305,115.161,114.569,114.961
1357581600,114.961,115.1965,114.8885,115.151
1357596000,115.151,115.2265,114.4885,114.7575
1357610400,114.7575,115.241,114.5465,114.821
1357624800,114.821,114.864,114.482,114.676
1357639200,114.676,114.9395,114.4185,114.537
1357653600,114.537,114.541,113.6395,114.016
1357668000,114.016,114.149,113.708,113.866
1357682400,113.866,114.3845,113.5545,114.337
1357696800,114.337,114.5245,114.1935,114.492
1357711200,114.492,114.791,114.311,114.392
1357725600,114.392,114.5555,114.057,114.398
1357740000,114.398,115.0305,114.25,114.9225
1357754400,114.9225,115.0125,114.527,114.8085
1357768800,114.8085,115.1405,114.772,114.8685
1357783200,114.8685,115.065,114.827,115.007
1357797600,115.007,115.4875,114.979,115.48
1357812000,115.48,116.378,115.316,116.3595
1357826400,116.3595,116.9865,116.0505,116.95
1357840800,116.95,117.8435,116.8195,117.83
1357855200,117.83,118.591,117.661,117.7465
1357869600,117.7465,118.2125,117.678,118.1685
1357884000,118.1685,118.275,117.7825,118.008
1357898400,118.008,118.8,117.631,118.735
1357912800,118.735,119.351,118.5895,119.101
1357927200,119.101,119.1105,118.8635,118.9965
1358114400,119.3165,119.854,119.193,119.665
1358128800,119.665,120.128,119.658,119.9545
1358143200,119.9545,120.0365,119.2735,119.539
1358157600,119.539,119.679,118.9555,119.2525
1358172000,119.2525,119.5075,118.8845,119.374
1358186400,119.374,119.7775,119.3145,119.7395
1358200800,119.7395,119.9865,119.636,119.937
1358215200,119.937,119.972,118.5675,118.8695
1358229600,118.8695,118.9255,118.2835,118.901
1358244000,118.901,118.9825,117.6565,118.382
1358258400,118.382,118.7595,117.8775,118.2305
1358272800,118.2305,118.3265,117.5925,118.143
1358287200,118.143,118.2525,117.009,117.2555
1358301600,117.2555,117.443,116.8675,117.193
1358316000,117.193,117.365,116.4705,116.8945
1358330400,116.8945,117.652,116.67,116.917
1358344800,116.917,118.0375,116.84,117.577
1358359200,117.577,117.853,117.3395,117.452
1358373600,117.452,118.1995,117.441,118.026
1358388000,118.026,118.026,117.013,117.838
1358402400,117.838,119.024,117.6195,118.9965
1358416800,118.9965,119.7605,118.9315,119.315
1358431200,119.315,120.0345,119.0305,119.8815
1358445600,119.8815,120.606,119.872,120.214
1358460000,120.214,120.5265,119.807,120.1285
1358474400,120.1285,120.7205,119.9055,120.444
1358488800,120.444,120.694,119.637,120.0405
1358503200,120.0405,120.381,119.5155,119.7455
1358517600,119.7455,119.9905,119.345,119.926
1358532000,119.926,120.047,119.847,119.986
1358719200,119.924,120.24,119.0815,119.3665
1358733600,119.3665,119.6245,119.1225,119.295
1358748000,119.295,119.5645,118.883,119.229
1358762400,119.229,119.4055,118.9185,119.2465
1358776800,119.2465,119.6865,119.242,119.527
1358791200,119.527,119.5775,119.236,119.2965
1358805600,119.2965,119.6655,119.0445,119.3745
1358820000,119.3745,120.1655,118.652,118.8595
1358834400,118.8595,119.403,117.328,117.9285
1358848800,117.9285,118.709,117.9285,118.2695
1358863200,118.2695,118.516,117.589,117.9775
1358877600,117.9775,118.233,117.9615,118.185
1358892000,118.185,118.3355,117.718,118.0905
1358906400,118.0905,118.1465,117.479,117.5675
1358920800,117.5675,117.9855,117.0565,117.7735
1358935200,117.7735,118.306,117.6295,118.0715
1358949600,118.0715,118.2935,117.5315,117.8325
1358964000,117.8325,118.1755,117.8225,118.0195
1358978400,118.0195,118.1035,117.585,117.7895
1358992800,117.7895,119.1185,117.7855,118.901
1359007200,118.901,119.5865,118.6395,119.243
1359021600,119.243,119.993,119.2,119.99
1359036000,119.99,120.579,119.8075,120.4065
1359050400,120.4065,121.074,120.087,120.8345
1359064800,120.8345,121.3065,120.666,120.758
1359079200,120.758,121.085,120.7095,121.022
1359093600,121.022,122.198,120.883,122.0145
1359108000,122.0145,122.777,121.626,122.382
1359122400,122.382,122.688,122.1665,122.436
1359136800,122.436,122.6965,122.1945,122.3565
1359324000,122.606,122.9165,122.195,122.34
1359338400,122.34,122.6395,122.2495,122.333
1359352800,122.333,122.435,121.6275,122.086
1359367200,122.086,122.609,121.7555,122.4785
1359381600,122.4785,122.536,121.825,122.199
1359396000,122.199,122.271,121.966,122.248
1359410400,122.248,122.264,121.5585,121.9525
1359424800,121.9525,122.4465,121.899,121.9795
1359439200,121.9795,122.192,121.651,121.815
1359453600,121.815,121.927,121.22,121.801
1359468000,121.801,122.4265,121.798,122.1375
1359482400,122.1375,122.5705,122.137,122.4085
1359496800,122.4085,122.763,122.2885,122.7355
1359511200,122.7355,122.8305,122.533,122.6635
1359525600,122.6635,123.665,122.545,123.6
1359540000,123.6,123.8655,123.0175,123.4695
1359554400,123.4695,123.7295,123.2885,123.621
1359568800,123.621,123.8545,123.48,123.574
1359583200,123.574,123.7215,123.4255,123.4555
1359597600,123.4555,123.601,123.132,123.528
1359612000,123.528,123.537,122.9885,123.3875
1359626400,123.3875,123.5645,123.1915,123.4845
1359640800,123.4845,124.1625,123.4075,124.064
1359655200,124.064,124.603,123.9145,124.5265
1359669600,124.5265,125.042,124.4135,124.9175
1359684000,124.9175,125.7265,124.8,125.5205
1359698400,125.5205,126.105,125.279,126.0575
1359712800,126.0575,126.1675,125.3635,125.7615
1359727200,125.7615,126.974,124.837,126.5155
1359741600,126.5155,126.9185,126.3055,126.6205
1359928800,126.6505,126.861,126.057,126.1815
1359943200,126.1815,126.5115,126.093,126.2815
1359957600,126.2815,126.7085,126.0725,126.5455
1359972000,126.5455,126.574,125.492,125.836
1359986400,125.836,125.9685,125.0995,125.3275
1360000800,125.3275,125.377,124.6355,124.8405
1360015200,124.8405,125.013,124.187,124.935
1360029600,124.935,124.9505,124.408,124.5655
1360044000,124.5655,125.973,124.021,125.6065
1360058400,125.6065,126.7235,125.3065,125.945
1360072800,125.945,126.94,125.736,126.698
1360087200,126.698,127.222,126.6625,127.177
1360101600,127.177,127.6455,126.8575,127.5885
1360116000,127.5885,127.7115,127.0525,127.1045
1360130400,127.1045,127.4675,126.535,126.9165
1360144800,126.9165,126.978,125.929,125.9755
1360159200,125.9755,126.8275,125.9725,126.2535
1360173600,126.2535,126.6545,126.0345,126.5995
1360188000,126.5995,126.656,126.0415,126.1585
1360202400,126.1585,126.574,126.074,126.562
1360216800,126.562,127.4075,126.368,127.2705
1360231200,127.2705,127.4705,125.863,125.867
1360245600,125.867,126.185,124.4955,125.2845
1360260000,125.2845,125.519,125.0735,125.4435
1360274400,125.4435,125.5775,125.125,125.4125
1360288800,125.4125,125.5745,124.883,124.9895
1360303200,124.9895,125.1865,123.534,124.3705
1360317600,124.3705,124.3705,123.431,123.9455
1360332000,123.9455,124.499,123.722,123.8735
1360346400,123.8735,124.1465,123.8195,123.8195
1360533600,123.8195,124.0685,123.511,123.7925
1360548000,123.7925,123.975,123.6145,123.911
1360562400,123.911,124.945,123.7155,124.8305
1360576800,124.8305,125.3905,124.6685,124.9065
1360591200,124.9065,125.452,124.5305,125.4155
1360605600,125.4155,126.6405,125.0055,126.443
1360620000,126.443,126.5135,126.1415,126.2975
1360634400,126.2975,126.414,125.5895,125.649
1360648800,125.649,126.2415,125.5985,125.8575
1360663200,125.8575,126.9485,125.0825,125.8655
1360677600,125.8655,126.245,125,125.533
1360692000,125.533,125.989,125.5045,125.7795
1360706400,125.7795,125.8285,125.3255,125.5385
